=== Raster scan debug log ===
Starting buildLayoutRasterScan, N=20
  candidate piece=3, rot=180, score=1221817.678355
  candidate piece=3, rot=270, score=962801.678872
  candidate piece=4, rot=0, score=1103171.203885
  candidate piece=4, rot=90, score=686459.363040
  candidate piece=4, rot=180, score=671520.211130
  candidate piece=4, rot=270, score=1445676.090916
  candidate piece=6, rot=0, score=617669.381068
  candidate piece=6, rot=90, score=823216.180695
  candidate piece=6, rot=180, score=968880.654227
  candidate piece=6, rot=270, score=662676.845651
  candidate piece=7, rot=0, score=1776049.446942
  candidate piece=7, rot=90, score=1304296.866252
  candidate piece=7, rot=180, score=736486.830689
  candidate piece=7, rot=270, score=735670.919258
  candidate piece=8, rot=0, score=1047366.396798
  candidate piece=8, rot=90, score=1663398.397325
  candidate piece=8, rot=180, score=1441608.545255
  candidate piece=8, rot=270, score=1775583.391887
  candidate piece=9, rot=0, score=874764.930485
  candidate piece=9, rot=90, score=952642.830216
  candidate piece=9, rot=180, score=445932.385259
  candidate piece=9, rot=270, score=708337.953537
  candidate piece=10, rot=0, score=1526243.439965
  candidate piece=10, rot=90, score=1342189.481027
  candidate piece=10, rot=180, score=969575.241696
  candidate piece=10, rot=270, score=1169753.622923
  candidate piece=11, rot=0, score=849643.444824
  candidate piece=11, rot=90, score=1436192.001270
  candidate piece=11, rot=180, score=929012.728722
  candidate piece=11, rot=270, score=874778.467655
  candidate piece=13, rot=0, score=1583001.162289
  candidate piece=13, rot=90, score=736150.208221
  candidate piece=13, rot=180, score=573081.438150
  candidate piece=13, rot=270, score=1274475.323822
  candidate piece=14, rot=0, score=1327447.449026
  candidate piece=14, rot=90, score=1639234.397928
  candidate piece=14, rot=180, score=688540.504665
  candidate piece=14, rot=270, score=641244.224740
  candidate piece=15, rot=0, score=1409159.677017
  candidate piece=15, rot=90, score=917391.168222
  candidate piece=15, rot=180, score=1028423.522694
  candidate piece=15, rot=270, score=1543781.890264
  candidate piece=16, rot=0, score=806186.091506
  candidate piece=16, rot=90, score=848350.675653
  candidate piece=16, rot=180, score=650763.423823
  candidate piece=16, rot=270, score=639243.931353
  candidate piece=17, rot=0, score=1120050.193433
  candidate piece=17, rot=90, score=1437859.463347
  candidate piece=17, rot=180, score=1594264.243297
  candidate piece=17, rot=270, score=811610.796024
  candidate piece=18, rot=0, score=607472.587572
  candidate piece=18, rot=90, score=586813.521476
  candidate piece=18, rot=180, score=391142.050169
  candidate piece=18, rot=270, score=394795.197849
  -> chosen piece=18, rot=180, bestScore=391142.050169
Cell (1,0): left=-1, top=0
  candidate piece=1, rot=0, score=966824.084823
  candidate piece=1, rot=90, score=1752866.408522
  candidate piece=1, rot=180, score=3270475.806022
  candidate piece=1, rot=270, score=2471023.193795
  candidate piece=2, rot=0, score=585918.240037
  candidate piece=2, rot=90, score=597216.430812
  candidate piece=2, rot=180, score=1323477.523547
  candidate piece=2, rot=270, score=1993646.145862
  candidate piece=3, rot=0, score=1230168.552186
  candidate piece=3, rot=90, score=1726198.938588
  candidate piece=3, rot=180, score=2277564.335554
  candidate piece=3, rot=270, score=1924911.610719
  candidate piece=4, rot=0, score=843965.120042
  candidate piece=4, rot=90, score=891943.800557
  candidate piece=4, rot=180, score=1160436.537742
  candidate piece=4, rot=270, score=441567.212617
  candidate piece=6, rot=0, score=494993.385042
  candidate piece=6, rot=90, score=747528.010719
  candidate piece=6, rot=180, score=534003.717925
  candidate piece=6, rot=270, score=606324.830341
  candidate piece=7, rot=0, score=622663.128451
  candidate piece=7, rot=90, score=2319094.139677
  candidate piece=7, rot=180, score=752820.927484
  candidate piece=7, rot=270, score=1224515.444923
  candidate piece=8, rot=0, score=1212810.472391
  candidate piece=8, rot=90, score=715830.940451
  candidate piece=8, rot=180, score=1024124.643607
  candidate piece=8, rot=270, score=861488.473601
  candidate piece=9, rot=0, score=549950.067590
  candidate piece=9, rot=90, score=574125.384287
  candidate piece=9, rot=180, score=1753337.307023
  candidate piece=9, rot=270, score=657465.893580
  candidate piece=10, rot=0, score=2039704.288004
  candidate piece=10, rot=90, score=2537976.214391
  candidate piece=10, rot=180, score=2344005.837861
  candidate piece=10, rot=270, score=1876678.975547
  candidate piece=11, rot=0, score=704656.741825
  candidate piece=11, rot=90, score=606628.764060
  candidate piece=11, rot=180, score=1065627.088426
  candidate piece=11, rot=270, score=724000.364917
  candidate piece=13, rot=0, score=808512.416158
  candidate piece=13, rot=90, score=866365.042810
  candidate piece=13, rot=180, score=565805.027444
  candidate piece=13, rot=270, score=681267.181833
  candidate piece=14, rot=0, score=924293.694894
  candidate piece=14, rot=90, score=2230252.595353
  candidate piece=14, rot=180, score=2716914.174121
  candidate piece=14, rot=270, score=974636.692638
  candidate piece=15, rot=0, score=1096061.196258
  candidate piece=15, rot=90, score=1154915.793558
  candidate piece=15, rot=180, score=1170986.135501
  candidate piece=15, rot=270, score=884252.171900
  candidate piece=16, rot=0, score=1036346.758052
  candidate piece=16, rot=90, score=1239161.072374
  candidate piece=16, rot=180, score=527759.650512
  candidate piece=16, rot=270, score=512833.822426
  candidate piece=17, rot=0, score=1067943.231523
  candidate piece=17, rot=90, score=1939962.820526
  candidate piece=17, rot=180, score=2348391.302483
  candidate piece=17, rot=270, score=2467722.485864
  -> chosen piece=4, rot=270, bestScore=441567.212617
Cell (1,1): left=4, top=19
  candidate piece=1, rot=0, score=2398168.796900
  candidate piece=1, rot=90, score=4378751.972746
  candidate piece=1, rot=180, score=6093080.433086
  candidate piece=1, rot=270, score=4417776.391794
  candidate piece=2, rot=0, score=2325392.852758
  candidate piece=2, rot=90, score=2741686.650100
  candidate piece=2, rot=180, score=1701480.960786
  candidate piece=2, rot=270, score=3574618.967813
  candidate piece=3, rot=0, score=2387057.176172
  candidate piece=3, rot=90, score=3399473.414446
  candidate piece=3, rot=180, score=3997733.284473
  candidate piece=3, rot=270, score=3535414.754821
  candidate piece=6, rot=0, score=1712102.512870
  candidate piece=6, rot=90, score=2279296.406855
  candidate piece=6, rot=180, score=2004905.313224
  candidate piece=6, rot=270, score=1541530.034019
  candidate piece=7, rot=0, score=2562486.056422
  candidate piece=7, rot=90, score=4580803.041266
  candidate piece=7, rot=180, score=1862127.545520
  candidate piece=7, rot=270, score=2838688.579542
  candidate piece=8, rot=0, score=1849502.310471
  candidate piece=8, rot=90, score=2472704.238402
  candidate piece=8, rot=180, score=1906078.362870
  candidate piece=8, rot=270, score=2712310.730891
  candidate piece=9, rot=0, score=2151652.265870
  candidate piece=9, rot=90, score=1537428.017663
  candidate piece=9, rot=180, score=3418634.026709
  candidate piece=9, rot=270, score=2233077.687277
  candidate piece=10, rot=0, score=4248004.541157
  candidate piece=10, rot=90, score=5102630.943905
  candidate piece=10, rot=180, score=4311045.337726
  candidate piece=10, rot=270, score=3524094.480431
  candidate piece=11, rot=0, score=2199730.872948
  candidate piece=11, rot=90, score=2051797.798540
  candidate piece=11, rot=180, score=1357626.879878
  candidate piece=11, rot=270, score=1769675.911638
  candidate piece=13, rot=0, score=2748736.597933
  candidate piece=13, rot=90, score=1713565.702226
  candidate piece=13, rot=180, score=1503357.938265
  candidate piece=13, rot=270, score=2335508.753103
  candidate piece=14, rot=0, score=2617717.437943
  candidate piece=14, rot=90, score=4625238.749163
  candidate piece=14, rot=180, score=4266741.220057
  candidate piece=14, rot=270, score=2038745.463297
  candidate piece=15, rot=0, score=1842398.458229
  candidate piece=15, rot=90, score=965272.712603
  candidate piece=15, rot=180, score=2669236.693772
  candidate piece=15, rot=270, score=2228184.123215
  candidate piece=16, rot=0, score=3014846.408793
  candidate piece=16, rot=90, score=3648657.351810
  candidate piece=16, rot=180, score=1604728.815755
  candidate piece=16, rot=270, score=1625280.647943
  candidate piece=17, rot=0, score=2274221.047667
  candidate piece=17, rot=90, score=3678645.816133
  candidate piece=17, rot=180, score=4624717.158348
  candidate piece=17, rot=270, score=4145756.170031
  -> chosen piece=15, rot=90, bestScore=965272.712603
Cell (1,2): left=15, top=5
  candidate piece=1, rot=0, score=4982545.155483
  candidate piece=1, rot=90, score=8331468.094208
  candidate piece=1, rot=180, score=9684084.869212
  candidate piece=1, rot=270, score=6116848.202216
  candidate piece=2, rot=0, score=2035357.274466
  candidate piece=2, rot=90, score=1163518.853998
  candidate piece=2, rot=180, score=3753990.796964
  candidate piece=2, rot=270, score=4459191.809429
  candidate piece=3, rot=0, score=4648894.137669
  candidate piece=3, rot=90, score=5990062.446477
  candidate piece=3, rot=180, score=6577506.313417
  candidate piece=3, rot=270, score=5097608.139615
  candidate piece=6, rot=0, score=2396892.060615
  candidate piece=6, rot=90, score=2324798.835733
  candidate piece=6, rot=180, score=1637848.766790
  candidate piece=6, rot=270, score=1549886.647581
  candidate piece=7, rot=0, score=4994460.823995
  candidate piece=7, rot=90, score=4805994.285469
  candidate piece=7, rot=180, score=3639711.292476
  candidate piece=7, rot=270, score=3596719.447812
  candidate piece=8, rot=0, score=1323628.330156
  candidate piece=8, rot=90, score=1079992.008973
  candidate piece=8, rot=180, score=829098.797133
  candidate piece=8, rot=270, score=1101267.139120
  candidate piece=9, rot=0, score=1917097.314000
  candidate piece=9, rot=90, score=4042458.715829
  candidate piece=9, rot=180, score=4573286.126342
  candidate piece=9, rot=270, score=2635587.721567
  candidate piece=10, rot=0, score=7797097.462106
  candidate piece=10, rot=90, score=8483835.550235
  candidate piece=10, rot=180, score=7132848.395076
  candidate piece=10, rot=270, score=6426039.907574
  candidate piece=11, rot=0, score=1764844.940798
  candidate piece=11, rot=90, score=835970.045262
  candidate piece=11, rot=180, score=1010171.403807
  candidate piece=11, rot=270, score=1993644.486700
  candidate piece=13, rot=0, score=1821340.810974
  candidate piece=13, rot=90, score=1323792.194921
  candidate piece=13, rot=180, score=2132454.492313
  candidate piece=13, rot=270, score=2443475.696618
  candidate piece=14, rot=0, score=5392022.119508
